,code,name_es,packaging,concept,search term,score
141,010.000.4201.00,"HIDRALAZINA, CLORHIDRATO DE DE CADA AMPOLLETA  CONTIENE: CLORHIDRATO DE HIDRALAZINA  20 MG / ML, SOLUCIÓN INYECTABLE,  ENVASE CON 5 AMPOLLETAS CON 1 ML.",5 AMPOLLETAS CON 1.0 ML,CIEL:77675,hydralazine,82
143,010.000.0813.00,"HIDROCORTISONA, 17-BUTIRATO  DE DE 1 MG / G, CREMA, ENVASE CON 15 G.",ENVASE CON 15 G,CIEL:77714,hydrocortisone,86
144,010.000.0474.00,"HIDROCORTISONA, SUCCINATO   SÓDICO  DE  DE  100  MG  / 2  ML,  SOLUCIÓN INYECTABLE,  ENVASE  CON 50 FRASCOS  ÁMPULA  Y 50 AMPOLLETAS CON 2 ML DE DILUYENTE.",50 FRASCOS ÁMPULA Y 50 AMPOLLETAS CON2 ML DE DILUYENTE.,CIEL:77714,hydrocortisone,86
145,060.182.1150,"HIDRÒXIDO  DE CALCIO ESTUCHE BASE-CATALIZADOR, PARA SELLAR CAVIDADES DENTALES. DE HIDRÓXIDO DE CALCIO, COMPUESTO AUTOPOLIMERIZABLE,  DOS  PASTAS   SEMILÍQUIDAS,  BASE  13G  Y CATALIZADOR 11GR CON BLOQUE DE PAPEL PARA MEZCLAR,  ESTUCHE  CON JUEGO Y APLICADOR  DESECHABLE",PIEZA,CIEL:72682,calcium hydroxide,
148,010.000.2893.00,"HIPROMELOSA DE  20  MG/ML,  SOLUCIÓN  OFTÁLMICA   AL  2%,  ENVASE  CON GOTERO INTEGRAL CON 15 ML.",ENVASE CON GOTERO INTEGRAL CON 15 ML.,CIEL:77850,hypromellose,78
149,020.000.3833.00,"INMUNOGLOBULINA HUMANA ANTIRRÁBICA DE CADA FRASCO ÁMPULA O AMPOLLETA  CONTIENE:  INMUNOGLOBULINA HUMANA  ANTIRRÁBICA 300  UI, SOLUCIÓN  INYECTABLE,  ENVASE  CON  UN  FRASCO  ÁMPULA  O AMPOLLETA CON 2 ML.",FRASCO ÁMPULA O AMPOLLETA  CON 2 ML,CIEL:77594,human immunoglobulin,72
151,4158,INSULINA GLARGINA SOLUCIÓN INYECTABLE 3.64 MG/ML.,ENVASE CON 5 CARTUCHOS DE VIDRIO CON 3 ML. EN DISPOSITIVO DESECHABLE,CIEL:78064,"insulin, glargine, human",
154,010.000.4157.00,"INSULINA ZINC COMPUESTA  HUMANA (ORIGEN ADN RECOMBINANTE )ACCIÓN INTERMEDIA   DE  100  UI  /  ML,  SUSPENSIÓN   INYECTABLE,   ENVASE  CON  UN FRASCO ÁMPULA CON 10 ML.",UN FRASCO ÁMPULA CON 10 ML,CIEL:78086,"INSULIN, ZINC, HUMAN",
158,010.000.4097.00,"IRBESARTÁN  - HIDROCLOROTIAZIDA DE 150 MG/12.5  MG, TABLETA,  ENVASE CON 28 TABLETAS.",ENVASE CON 28 TABLETAS.,CIEL:104831,,
159,010.000.2024.00,"ISOCONAZOL, NITRATO DE DE 1 G / 100 G, CREMA, ENVASE CON 20 G.",ENVASE CON 20 G,CIEL:78251,isoconazole,95
165,010.000.2018.00,"ITRACONAZOL DE 100 MG, CÁPSULA, ENVASE CON 15 CÁPSULAS.",15 CÁPSULAS,CIEL:78338,itraconazole,96
169,010.000.2504.00,"KETOPROFENO DE 100 MG, CÁPSULA, ENVASE CON 15 CÁPSULAS.",15 CÁPSULAS,CIEL:78479,ketoprofen,95
170,S/C,KETOROLACO TOMETAMINA  TABLETAS DE 10 MG,FRASCO DE 10 TABLETAS CON 10 MG,CIEL:78482,ketorolac tromethamine,73
175,010.000.0264.00,"LIDOCAÍNA  DE 10.0 G / 100 ML, SOLUCIÓN  AL 10%, ENVASE  CON 115 ML CON ATOMIZADOR  MANUAL.",115 ML CON ATOMIZADOR  MANUAL,CIEL:78849,lidocaine,82
176,SIN CLAVE,LIDOCAINA-HIDROCORTISONA UNGÜENTO  50 MG/2.5 MG/1G,ENVASE,CIEL:104859,,
177,010.000.0261.00,"LIDOCAÍNA,    CLORHIDRATO  DE   (GT3)   DE   500   MG   /   50   ML,   SOLUCIÓN INYECTABLE  AL 1%, ENVASE CON 5 FRASCOS ÁMPULA DE 50 ML.",5 FRASCOS ÁMPULA CON 50 ML,CIEL:78849,lidocaine,82
178,010.000.0262.00,"LIDOCAÍNA,  CLORHIDRATO DE DE 1 G / 50 ML, SOLUCIÓN  INYECTABLE  AL 2%, ENVASE CON 5 FRASCOS ÁMPULA CON 50 ML.",5 FRASCOS ÁMPULA CON 50 ML,CIEL:78849,lidocaine,82
181,010.000.0263.00,"LIDOCAÍNA,  CLORHIDRATO DE, GLUCOSA  MONOHIDRATADA DE 100 MG / 2 ML / 150 MG, SOLUCIÓN  INYECTABLE  AL 5%, ENVASE CON 50 AMPOLLETAS CON 2 ML.",50 AMPOLLETAS CON 2 ML,CIEL:104735,,
185,010.000.2144.00,"LORATADINA  DE 10 MG, TABLETA  O GRAGEA,  ENVASE  CON 20 TABLETAS  O GRAGEAS.",20 TABLETAS O GRAGEAS,CIEL:79053,loratadine,90
186,SIN CLAVE,LORATADINA  JARABE 5MG/5ML.,ENVASE,CIEL:79053,loratadine,
187,2520,LOSARTAN GRAGEA 50 MG,GRAGEA,CIEL:79074,losartan,
188,010.000.5359.00,"MAGNESIO,    VALPROATO    DE    DE    600    MG,    TABLETA    DE    LIBERACIÓN PROLONGADA, ENVASE CON 30 TABLETAS.",30 TABLETAS,CIEL:79224,magnesium,82
189,010.000.2622.00,"MAGNESIO,   VALPROATO   DE  (ÁCIDO  VALPROICO)   DE  185.6  MG  /  200  MG, TABLETA CON CUBIERTA ENTÉRICA,  ENVASE CON 40 TABLETAS.",40 TABLETAS,CIEL:79224,magnesium,82
190,010.000.2623.00,"MAGNESIO,  VALPROATO  DE (ÁCIDO  VALPROICO)  DE 186 MG/ML,  SOLUCIÓN, ENVASE CON 40 ML.",ENVASE CON 40 ML,CIEL:79224,magnesium,82
192,010.000.3509.00,"MEDROXIPROGESTERONA, ACETATO  DE, ESTRADIOL,  CIPIONATO  DE DE 25 MG/5  MG/0.5  ML, SUSPENSIÓN  INYECTABLE,  ENVASE  CON UNA AMPOLLETA CON 0.5 ML.",AMPOLLETA  O JERINGA PRELLENADA CON  0.5 ML,CIEL:79494,medroxyprogesterone,89
193,010.000.3423.00,"MELOXICAM  DE 15 MG, TABLETA, ENVASE CON 10 TABLETAS.",ENVASE CON 10 TABLETAS.,CIEL:79532,meloxicam,100
194,060.630.0028,MERCURIO  TRIDESTILADO. QUIMICAMENE PURO. ENVASE CON 250 G.,ENVASE CON 250 G,CIEL:79605,mercury,
195,010.000.0108.00,"METAMIZOL     SÓDICO     DE    500    MG,    COMPRIMIDO,    ENVASE     CON    10 COMPRIMIDOS.",10 COMPRIMIDOS,CIEL:75047,DIPYRONE,
196,010.000.0109.00,"METAMIZOL  SÓDICO  DE 1 G / 2 ML, SOLUCIÓN  INYECTABLE,  ENVASE  CON 3 AMPOLLETAS CON 2 ML.",3 AMPOLLETAS CON 2 ML,CIEL:75047,DIPYRONE,
198,010.000.3444.00,"METOCARBAMOL DE 400 MG, TABLETA, ENVASE CON 30 TABLETAS.",30 TABLETAS,CIEL:79696,methocarbamol,96
206,010.000.1310.00,"METRONIDAZOL,  BENZOILO   DE  DE  250  MG  /  5  ML,  SUSPENSIÓN   ORAL, ENVASE CON 120 ML Y DOSIFICADOR.",ENVASE CON 120 ML,CIEL:79783,METRONIDAZOLE BENZOATE,
209,010.000.4141.00,"MOMETASONA, MONOHIDRATADA FUROATO  DE  (GT18)  DE  0.050  G/100  ML, SUSPENSIÓN    PARA   INHALACIÓN,    ENVASE   NEBULIZADOR  CON   18   ML   Y VÁLVULA DOSIFICADORA (140 NEBULIZACIONES DE 50 µG CADA UNA).",ENVASE NEBULIZADOR CON 18 ML Y VÁLVULA DOSIFICADORA (140 NEBULIZACIONES DE 50 µG CADA UNA).,CIEL:80049,mometasone,90
211,010.000.2804.00,"NAFAZOLINA,    CLORHIDRATO   DE   DE   1   MG/ML,    SOLUCIÓN    OFTÁLMICA, ENVASE CON GOTERO INTEGRAL CON 15 ML.",GOTERO INTEGRAL CON 15 ML,CIEL:80384,naphazoline,76
212,010.000.3419.00,"NAPROXENO  DE 125 MG/ 5 ML, SUSPENSIÓN  ORAL, ENVASE CON 100 ML.",ENVASE CON 100 ML,CIEL:80395,naproxen,94
213,010.000.3407.00,"NAPROXENO  DE 250 MG, TABLETA, ENVASE CON 30 TABLETAS.",30 TABLETAS,CIEL:80395,naproxen,94
214,010.000.2823.00,"NEOMICINA,   SULFATO  DE,  POLIMIXINA   B,  SULFATO  DE  Y  GRAMICIDINA   DE 1.75  MG/5  000  U/25  µG/ML.,  SOLUCIÓN  OFTÁLMICA,   ENVASE  CON  GOTERO INTEGRAL CON 15 ML.",GOTERO INTEGRAL CON 15 ML,CIEL:80514,neomycin,82
220,010.000.2524.00,"NITAZOXANIDA DE 100 MG/5 ML, SUSPENSIÓN  ORAL, ENVASE CON 30 ML.",ENVASE CON 30 ML,CIEL:80675,nitazoxanide,92
221,010.000.2519.00,"NITAZOXANIDA DE 200 MG, TABLETA, ENVASE CON 6 TABLETAS.",6 TABLETAS,CIEL:80675,nitazoxanide,92
222,010.000.1562.00,"NITROFURAL  DE 6 MG, ÓVULO, ENVASE CON 6 ÓVULOS.",6 ÓVULOS,CIEL:80701,nitrofurazone,78
223,010.000.1911.00,"NITROFURANTOÍNA DE 100 MG, CÁPSULA, ENVASE CON 40 CÁPSULAS.",40 CÁPSULAS,CIEL:80696,nitrofurantoin,93
224,010.000.5302.00,"NITROFURANTOÍNA DE 500 MG/100 ML, SUSPENSIÓN  ORAL, ENVASE CON 120 ML (25 MG/5 ML).",ENVASE CON 120 ML,CIEL:80696,nitrofurantoin,93
225,SIN CLAVE,NITROFURANTOINA SUSPENSION  25MG/5ML.,ENVASE,CIEL:80696,nitrofurantoin,
226,010.000.3511.00,"NORELGESTROMINA Y ETINILESTRADIOL DE 6 MG/0.60 MG, PARCHE, ENVASE CON 3 PARCHES.",3 PARCHES,CIEL:104626,ethinyl estradiol / norelgestromin,74
234,010.000.5481.00,"PAROXETINA,  CLORHIDRATO  DE  DE  20  MG,   TABLETA,   ENVASE   CON  10 TABLETAS.",10 TABLETAS,CIEL:81604,paroxetine,90
236,010.000.2138.00,"PIRANTEL,  PAMOATO DE DE 250 MG, TABLETA, ENVASE CON 6 TABLETAS.",6 TABLETAS,CIEL:82898,pyrantel,88
238,010.000.5232.00,"PIRIDOXINA  DE 300 MG, TABLETA, ENVASE CON 10 TABLETAS.",10 TABLETAS,CIEL:82912,pyridoxine,80
239,010.000.3415.00,PIROXICAM  CAPSULA O TABLETA 20 MG.,ENVASE CON 20 CAPSULAS  O TABLETAS.,CIEL:82163,piroxicam,
240,010.000.1271.00,"PLÁNTAGO  PSYLLIUM DE 49.7 G/100 G, POLVO, ENVASE CON 400 G.",ENVASE CON 400 G,CIEL:82862,psyllium,
241,010.000.0901.00,"PODOFILINA,  RESINA  DE DE 250 MG / ML, SOLUCIÓN  DÉRMICA,  ENVASE CON 5 ML.",ENVASE CON 5 ML,CIEL:82228,podophyllin,
242,010.000.2040.00,"PRAZICUANTEL DE 600 MG, TABLETA, ENVASE CON 25 TABLETAS.",25 TABLETAS,CIEL:82416,praziquantel,92
249,010.000.1314.00,QUINFAMIDA  TABLETA 300 MG,ENVASE CON 1 TABLETA,CIEL:83014,quinfamide,71
256,010.000.1272.00,"SENÓSIDOS    A-B     DE    CONCENTRADO   DE    SEN    DESECADOS    187    MG (NORMALIZADO A 8.6 MG), TABLETA, ENVASE CON 20 TABLETAS.",20 TABLETAS,CIEL:83809,sennosides,
257,010.000.1270.00,"SENÓSIDOS  A-B  DE CONCENTRADO DE SEN EQUIVALENTE A 200 MG/100 ML, SOLUCIÓN ORAL, ENVASE CON 75 ML.",ENVASE CON 75 ML,CIEL:83809,sennosides,
259,010.000.2829.00,"SULFACETAMIDA SÓDICA  DE 0.1 G/ML, SOLUCIÓN  OFTÁLMICA,  ENVASE  CON GOTERO INTEGRAL CON 15 ML.",GOTERO INTEGRAL CON 15 ML,CIEL:84454,sulfacetamide sodium,82
262,010.000.2542.00,"TELMISARTÁN - HIDROCLOROTIAZIDA DE 80.0 MG/12.5 MG, TABLETA, ENVASE CON 14 TABLETAS.",ENVASE CON 14 TABLETAS.,CIEL:104843,,
263,010.000.5075.00,"TEOFILINA   ANHIDRA   DE  533  MG/100   ML,  ELÍXIR,  ENVASE   CON  450  ML  Y DOSIFICADOR.",ENVASE CON 450 ML,CIEL:84950,THEOPHYLLINE ANHYDROUS,
264,010.000.0437.00,"TEOFILINA  ANHIDRA  DE  100  MG.,  COMPRIMIDO  Ó TABLETA  O CÁPSULA  DE LIBERACIÓN  PROLONGADA, ENVASE  CON  20 COMPRIMIDOS O TABLETAS  O CÁPSULAS  DE LIBERACIÓN  PROLONGADA.",20 COMPRIMIDOS Ó TABLETAS Ó CÁPSULAS  DE LIBERACIÓN PROLONGADA,CIEL:84950,THEOPHYLLINE ANHYDROUS,
265,010.000.0433.00,"TERBUTALINA, SULFATO DE DE 5 MG, TABLETA, ENVASE CON 20 TABLETAS.",20 TABLETAS,CIEL:84826,terbutaline,91
266,010.000.1981.00,"TETRACICLINA, CLORHIDRATO DE DE 250 MG, TABLETA O CÁPSULA,  ENVASE CON 10 TABLETAS O CÁPSULAS.",10 TABLETAS O CÁPSULAS,CIEL:84893,tetracycline,83
267,010.000.2263.00,"TIOTROPIO  MONOHIDRATADO, BROMURO  DE DE  18 µG,  CÁPSULA,  ENVASE CON 30 CÁPSULAS  (REPUESTO).",ENVASE CON 30 CÁPSULAS (REPUESTO).,CIEL:85157,tiotropium,
268,010.000.2262.00,"TIOTROPIO  MONOHIDRATADO, BROMURO  DE DE  18 µG,  CÁPSULA,  ENVASE CON 30 CÁPSULAS  Y DISPOSITIVO  INHALADOR.",ENVASE CON 30 CÁPSULAS Y DISPOSITIVO INHALADOR.,CIEL:85157,tiotropium,
272,010.000.2630.00,"VALPROATO SEMISÓDICO (ÁCIDO VALPROICO) DE 500 MG, TABLETA DE LIBERACIÓN  PROLONGADA, ENVASE CON 30 TABLETAS DE LIBERACIÓN PROLONGADA.",30 TABLETAS,CIEL:84114,,
273,010.000.2715.00,VITAMINA E GRAGEA O CÁPSULA DE GELATINA 400 MG,ENVASE CON 99 Ó 100 GRAGEAS O CAPSULAS,CIEL:86347,,
276,010.000.2801.00,ZINC Y FENILEFRINA  SOLUCIÓN OFTÁLMICA  2.5 MG/1.2 MG/ ML,ENVASE CON GOTERO INTEGRAL CON 15 ML.,CIEL:105169,,
